Timestamp,CPU Load,Used Memory (MB),Available Memory (MB),GPU0_Utilization (%),GPU0_Memory Used (MB),GPU1_Utilization (%),GPU1_Memory Used (MB),GPU2_Utilization (%),GPU2_Memory Used (MB),GPU3_Utilization (%),GPU3_Memory Used (MB)
2025-03-15 21:41:27,N/A,21502,164622,0,21057,0,21055,0,21055,0,21055
2025-03-15 21:41:38,N/A,21771,164353,0,21057,0,21055,0,21055,0,21055
2025-03-15 21:41:49,N/A,21940,164184,0,21057,0,21055,0,21055,0,21055
2025-03-15 21:42:00,N/A,23923,162199,44,21124,45,21125,46,21125,47,21125
2025-03-15 21:42:11,N/A,23807,162317,5,21171,3,21171,5,21171,4,21171
2025-03-15 21:42:22,N/A,25417,160706,69,21173,74,21173,72,21173,75,21173
2025-03-15 21:42:34,N/A,26813,159311,76,21173,81,21173,81,21173,79,21173
2025-03-15 21:42:45,N/A,27187,158936,58,21173,67,21173,68,21173,68,21173
2025-03-15 21:42:56,N/A,27871,158252,66,21173,58,21173,60,21173,70,21173
2025-03-15 21:43:07,N/A,27926,158197,71,21173,69,21173,71,21173,70,21173
2025-03-15 21:43:18,N/A,27930,158194,40,21173,42,21173,43,21173,43,21173
2025-03-15 21:43:29,N/A,29439,156678,1,21173,0,21173,0,21173,0,21173
2025-03-15 21:43:40,N/A,28978,157147,0,21173,0,21173,0,21173,0,21173
2025-03-15 21:43:51,N/A,28930,157194,0,21173,0,21173,0,21173,0,21173
2025-03-15 21:46:45,N/A,27824,158300,0,21173,0,21173,0,21173,0,21173
