Timestamp,Used_Mem(MB),Avail_Mem(MB),GPU0_Util(%),GPU0_MemUsed(MB),GPU0_MemFree(MB),GPU1_Util(%),GPU1_MemUsed(MB),GPU1_MemFree(MB),GPU2_Util(%),GPU2_MemUsed(MB),GPU2_MemFree(MB),GPU3_Util(%),GPU3_MemUsed(MB),GPU3_MemFree(MB)
2025-03-16 21:40:59,3363,182760,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:41:05,3615,182508,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:41:11,4070,182054,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:41:16,4513,181611,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:41:22,4925,181200,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:41:28,5333,180792,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:41:33,5761,180363,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:41:39,6177,179944,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:41:44,6638,179483,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:41:50,7092,179030,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:41:56,7528,178596,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:42:01,7936,178187,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:42:07,8399,177725,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:42:13,8835,177287,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:42:18,9243,176879,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:42:24,9629,176493,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:42:29,10011,176112,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:42:35,10495,175625,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:42:41,10944,175182,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:42:46,11380,174744,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:42:52,11854,174268,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:42:57,12287,173837,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:43:03,12743,173377,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:43:09,13208,172917,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:43:14,13617,172506,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:43:20,14043,172079,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:43:26,14481,171644,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:43:31,14883,171241,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:43:37,15307,170817,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:43:42,15764,170359,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:43:48,16229,169894,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:43:54,16709,169414,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:43:59,17162,168962,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:44:05,17547,168577,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:44:10,18010,168119,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:44:16,18470,167655,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:44:22,18935,167189,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:44:27,19404,166720,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:44:33,19858,166262,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:44:39,20275,165850,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:44:44,20672,165452,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 21:44:50,21109,165013,0,193,22398,0,193,22398,0,193,22398,0,193,22398
