Timestamp,Used_Mem(MB),Avail_Mem(MB),GPU0_Util(%),GPU0_MemUsed(MB),GPU0_MemFree(MB),GPU1_Util(%),GPU1_MemUsed(MB),GPU1_MemFree(MB),GPU2_Util(%),GPU2_MemUsed(MB),GPU2_MemFree(MB),GPU3_Util(%),GPU3_MemUsed(MB),GPU3_MemFree(MB)
2025-03-16 23:44:47,3421,182703,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:44:53,3647,182477,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:44:58,4122,182000,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:45:04,4562,181562,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:45:10,4930,181187,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:45:15,5354,180767,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:45:21,5802,180323,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:45:26,6259,179866,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:45:32,6703,179421,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:45:38,7107,179016,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:45:43,7588,178538,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:45:49,8032,178093,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:45:54,8486,177638,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:46:00,8944,177181,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:46:06,9331,176792,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:46:11,9743,176380,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:46:17,10187,175934,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:46:22,10660,175465,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:46:28,11099,175024,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:46:34,11551,174573,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-16 23:46:39,11995,174127,0,193,22398,0,193,22398,0,193,22398,0,193,22398
