Timestamp,Used_Mem(MB),Avail_Mem(MB)
2025-03-21 02:19:58,1568,13797
2025-03-21 02:20:04,3842,11524
2025-03-21 02:20:09,4562,10804
2025-03-21 02:20:14,5221,10146
2025-03-21 02:20:19,5429,9937
2025-03-21 02:20:24,4638,10727
2025-03-21 02:20:29,4679,10684
2025-03-21 02:20:34,4675,10691
2025-03-21 02:20:39,4557,10808
2025-03-21 02:20:44,4790,10577
2025-03-21 02:20:49,4863,10504
2025-03-21 02:20:54,4888,10473
2025-03-21 02:20:59,7226,8176
2025-03-21 02:22:17,3486,11878,6,1,22590
2025-03-21 02:22:30,4852,10513,5,72,22518
2025-03-21 02:22:35,1593,13774,80,12113,10478
2025-03-21 02:22:40,1934,13431,60,17493,5098
2025-03-21 02:22:46,1955,13411,91,17493,5098
2025-03-21 02:22:51,1905,13461,97,17493,5098
2025-03-21 02:22:56,1794,13572,97,17493,5098
2025-03-21 02:23:01,1768,13599,80,17493,5098
2025-03-21 02:23:06,1825,13542,80,17493,5098
2025-03-21 02:23:12,1880,13486,80,17493,5098
2025-03-21 02:23:17,1904,13462,80,17493,5098
2025-03-21 02:24:27,1633,13733,0,4,22587
2025-03-21 02:24:33,3126,12248,30,4369,18222
2025-03-21 02:24:38,1990,13376,81,17492,5098
2025-03-21 02:24:43,2034,13333,95,17493,5098
2025-03-21 02:24:48,1974,13392,100,17493,5098
2025-03-21 02:24:54,1972,13395,79,17493,5098
2025-03-21 02:24:59,1912,13455,80,17493,5098
2025-03-21 02:25:04,1804,13563,80,17493,5098
2025-03-21 02:25:09,1832,13535,80,17493,5098
2025-03-21 02:25:15,1821,13546,100,17493,5098
2025-03-21 02:25:20,1871,13496,80,17493,5098
2025-03-21 02:25:25,1913,13454,100,17493,5098
2025-03-21 02:25:30,1805,13561,100,17493,5098
2025-03-21 02:25:35,1793,13573,80,17493,5098
2025-03-21 02:25:41,1829,13537,80,17493,5098
2025-03-21 02:25:46,1800,13567,80,17493,5098
2025-03-21 02:25:51,1862,13504,80,17493,5098
2025-03-21 02:25:56,1844,13523,93,17493,5098
2025-03-21 02:26:02,1864,13504,89,17493,5098
2025-03-21 02:26:07,1805,13561,80,17493,5098
2025-03-21 02:26:12,1851,13515,100,17493,5098
2025-03-21 02:26:17,1863,13503,80,17493,5098
2025-03-21 02:26:23,1897,13470,80,17493,5098
2025-03-21 02:26:28,1878,13489,97,17493,5098
2025-03-21 02:26:33,1892,13474,80,17493,5098
2025-03-21 02:26:38,1848,13519,100,17493,5098
2025-03-21 02:26:44,1861,13506,80,17493,5098
2025-03-21 02:26:49,1895,13471,97,17493,5098
2025-03-21 02:26:54,1840,13527,80,17493,5098
2025-03-21 02:26:59,1843,13524,78,17493,5098
2025-03-21 02:27:04,1909,13457,100,17493,5098
2025-03-21 02:27:10,1844,13522,100,17493,5098
2025-03-21 02:27:15,1829,13536,80,17493,5098
2025-03-21 02:27:20,1755,13612,80,17493,5098
2025-03-21 02:27:25,1862,13504,75,17493,5098
2025-03-21 02:27:31,1897,13469,100,17493,5098
2025-03-21 02:27:36,1863,13504,100,17493,5098
2025-03-21 02:27:41,1896,13470,80,17493,5098
2025-03-21 02:27:46,1858,13508,100,17493,5098
2025-03-21 02:27:52,1882,13485,80,17493,5098
2025-03-21 02:27:57,1872,13495,80,17493,5098
2025-03-21 02:28:02,1843,13523,100,17493,5098
2025-03-21 02:28:07,1810,13557,80,17493,5098
2025-03-21 02:28:12,1912,13455,80,17493,5098
2025-03-21 02:28:18,1835,13531,100,17493,5098
2025-03-21 02:28:23,1851,13516,80,17493,5098
2025-03-21 02:28:28,1875,13491,100,17493,5098
2025-03-21 02:28:33,1866,13501,80,17493,5098
2025-03-21 02:28:39,1911,13456,80,17493,5098
2025-03-21 02:28:44,1928,13439,100,17493,5098
2025-03-21 02:28:49,1846,13520,88,17493,5098
2025-03-21 02:28:54,1899,13467,100,17493,5098
2025-03-21 02:29:00,1923,13443,80,17493,5098
2025-03-21 02:29:05,1890,13477,80,17493,5098
2025-03-21 02:29:10,1789,13578,100,17493,5098
2025-03-21 02:29:15,1860,13507,100,17493,5098
2025-03-21 02:29:20,1855,13512,80,17493,5098
2025-03-21 02:29:26,1849,13518,80,17493,5098
2025-03-21 02:29:31,1918,13448,80,17493,5098
2025-03-21 02:29:36,1895,13471,100,17493,5098
2025-03-21 02:29:41,1846,13520,100,17493,5098
2025-03-21 02:29:47,1896,13471,80,17493,5098
2025-03-21 02:29:52,1867,13499,97,17493,5098
2025-03-21 02:29:57,1821,13546,80,17493,5098
2025-03-21 02:30:02,1833,13533,100,17493,5098
2025-03-21 02:30:08,1866,13498,80,17493,5098
2025-03-21 02:30:13,1891,13475,100,17493,5098
2025-03-21 02:30:18,1896,13470,80,17493,5098
2025-03-21 02:30:23,1912,13454,100,17493,5098
2025-03-21 02:30:28,1865,13502,72,17493,5098
2025-03-21 02:30:34,1799,13567,80,17493,5098
2025-03-21 02:30:39,1856,13510,80,17493,5098
2025-03-21 02:30:44,1817,13549,100,17493,5098
2025-03-21 02:30:49,1800,13566,95,17493,5098
2025-03-21 02:30:55,1853,13514,80,17493,5098
2025-03-21 02:31:00,1823,13544,100,17493,5098
2025-03-21 02:31:05,1782,13584,80,17493,5098
2025-03-21 02:31:10,1925,13441,80,17493,5098
2025-03-21 02:31:16,1916,13450,80,17493,5098
2025-03-21 02:31:21,1857,13509,100,17493,5098
2025-03-21 02:31:26,1811,13554,80,17493,5098
2025-03-21 02:31:31,1863,13503,100,17493,5098
2025-03-21 02:31:36,1923,13444,83,17493,5098
2025-03-21 02:31:42,1855,13512,80,17493,5098
2025-03-21 02:31:47,1856,13511,87,17493,5098
2025-03-21 02:31:52,1808,13558,100,17493,5098
2025-03-21 02:31:57,1838,13528,78,17493,5098
2025-03-21 02:32:03,1837,13530,80,17493,5098
2025-03-21 02:32:08,1846,13521,100,17493,5098
2025-03-21 02:32:13,1866,13500,80,17493,5098
2025-03-21 02:32:18,1842,13524,100,17493,5098
2025-03-21 02:32:24,1794,13573,92,17493,5098
2025-03-21 02:32:29,1903,13464,80,17493,5098
2025-03-21 02:32:34,1887,13480,80,17493,5098
2025-03-21 02:32:39,1802,13564,80,17493,5098
2025-03-21 02:32:44,1859,13507,100,17493,5098
2025-03-21 02:32:50,1886,13481,80,17493,5098
2025-03-21 02:32:55,1838,13529,100,17493,5098
2025-03-21 02:33:00,1852,13515,80,17493,5098
2025-03-21 02:33:05,1894,13473,100,17493,5098
2025-03-21 02:33:11,1873,13493,80,17493,5098
2025-03-21 02:33:16,1888,13479,80,17493,5098
2025-03-21 02:33:21,1818,13548,100,17493,5098
