Timestamp,Used_Mem(MB),Avail_Mem(MB),GPU0_Util(%),GPU0_MemUsed(MB),GPU0_MemFree(MB),GPU1_Util(%),GPU1_MemUsed(MB),GPU1_MemFree(MB),GPU2_Util(%),GPU2_MemUsed(MB),GPU2_MemFree(MB),GPU3_Util(%),GPU3_MemUsed(MB),GPU3_MemFree(MB)
2025-03-17 01:03:56,3356,182767,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:04:02,3602,182523,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:04:08,4068,182061,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:04:13,4536,181587,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:04:19,4938,181185,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:04:24,5370,180755,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:04:30,5812,180314,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:04:36,6229,179894,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:04:41,6668,179456,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:04:47,7114,179010,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:04:52,7533,178591,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:04:58,7955,178169,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:05:04,8406,177717,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:05:09,8887,177236,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:05:15,9314,176812,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:05:20,9720,176404,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:05:26,10160,175967,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:05:32,10622,175499,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:05:37,11066,175058,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:05:43,11491,174632,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:05:49,11946,174177,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:05:54,12427,173698,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:06:00,12916,173207,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:06:05,13365,172758,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:06:11,13798,172325,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:06:17,14204,171918,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:06:22,14630,171490,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:06:28,15034,171090,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:06:34,15523,170600,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:06:39,15973,170154,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:06:45,16428,169694,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:06:50,16909,169214,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:06:56,17312,168809,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:07:02,17738,168385,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:07:07,18196,167925,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:07:13,18717,167407,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:07:18,19225,166895,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:07:24,19704,166420,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:07:30,20122,166003,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:07:35,20535,165588,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:07:41,20973,165150,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:07:46,21393,164730,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:07:52,21796,164335,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:07:58,22260,163864,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:08:03,22689,163433,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:08:09,23196,162926,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:08:15,23736,162387,0,193,22398,0,193,22398,0,193,22398,0,193,22398
2025-03-17 01:08:20,24162,161959,0,193,22398,0,193,22398,0,193,22398,0,193,22398
